genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WTP0579.16	WTP0579.18	WTP0579.26	WTP0579.32
GmISU01.01G008900.v2.1	6.88961638885329	6.44859556457332	6.16002544711126	7.25581606300804	6.81998357551543	6.97177003634389	7.02167808313387	6.7748081342683	6.93407660642022
GmISU01.01G009200.v2.1	2.32924607730979	1.8792178990583	1.51108951230996	1.79436785569481	2.44877368660308	2.64338834246888	2.15851924980558	2.87110757795101	1.58798380713049
GmISU01.01G009600.v2.1	1.70100136620478	1.366213121777	3.47107536988988	1.79436785569481	2.04685667612768	2.21961270304365	1.57086804721782	3.13357285099823	2.92483032674013
GmISU01.01G009700.v2.1	2.32924607730979	2.25688429486715	2.0784048195632	2.89756862739078	3.42886647238243	3.82776031811363	4.1625429305583	3.86939950559177	2.18125335944731
GmISU01.01G009800.v2.1	6.70568008017186	7.07335984396703	7.35322213865326	6.19322357882344	6.83683517698875	6.77632519245598	6.93627533628949	6.35342175891506	7.03845613403073
GmISU01.01G011200.v2.1	2.32924607730979	3.01472281386774	0.562771745184489	0.562771745184491	1.48778251912831	2.97053402960597	3.16120295014934	2.13641627239693	2.18125335944731
GmISU01.01G012200.v2.1	0.562771745184491	0.562771745184491	2.48453710804054	0.562771745184491	1.48778251912831	2.97053402960597	0.562771745184489	0.562771745184489	0.562771745184489
GmISU01.01G012300.v2.1	4.71783324348032	5.43657767890361	5.31922919428145	5.88829224811354	5.54260258484521	5.36577467605122	5.27874116071604	5.13143660119037	5.46904852163275
GmISU01.01G012900.v2.1	5.06229464861551	4.85786891395209	5.66988912775051	4.66536246815407	4.58761205186463	4.75069975273355	4.48473887224272	4.45379219917193	4.77995552865782
GmISU01.01G013500.v2.1	6.70568008017186	6.74357383919869	7.13098258371167	6.19322357882344	7.02504900697596	6.59834269450259	6.33350927921611	6.03799460678976	6.4698964215262
GmISU01.01G013600.v2.1	3.09992616690293	3.01472281386774	0.562771745184489	3.9465265006986	3.7467799478079	3.23703637648904	1.57086804721782	3.13357285099823	2.18125335944731
GmISU01.01G013900.v2.1	1.70100136620478	0.562771745184491	1.51108951230996	2.44894449249177	2.44877368660308	3.23703637648904	1.57086804721782	2.5500327614921	2.60042651607653
GmISU01.01G014100.v2.1	3.09992616690293	3.01472281386774	1.51108951230996	3.5153536068858	3.02049527917325	2.97053402960597	3.38397835004588	3.13357285099823	2.92483032674013
GmISU01.01G014400.v2.1	3.3712675132226	3.64216568301354	5.26873727438364	3.9465265006986	4.00713172077542	4.91180275024764	4.74795181498537	4.35433794042109	4.5163740411061
GmISU01.01G014600.v2.1	2.32924607730979	1.8792178990583	2.48453710804054	2.89756862739078	2.04685667612768	1.61701352510528	4.03689028348947	2.87110757795101	3.77721804312662
GmISU01.01G014700.v2.1	0.562771745184491	0.562771745184491	0.562771745184489	1.79436785569481	1.48778251912831	2.64338834246888	2.57489922328341	2.13641627239693	2.60042651607653
GmISU01.01G015300.v2.1	3.09992616690293	1.8792178990583	0.562771745184489	2.44894449249177	2.04685667612768	2.97053402960597	2.15851924980558	2.5500327614921	3.77721804312662
GmISU01.01G015400.v2.1	6.06869373514435	5.47279015541122	5.04699308424661	6.26969247401961	6.05578566817115	7.53877646924098	7.3601328966657	6.88582254936895	8.31296630169089
